LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000975323 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1800   -951.04357            0   -900.78722   -114161.75    5330.9442 
    3200    1748.1151    -938.8863            0   -890.07859   -11397.809     4735.421 
Loop time of 2.2582 on 1 procs for 3200 steps with 217 atoms

Performance: 367.302 ns/day, 0.065 hours/ns, 1417.058 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1666     | 2.1666     | 2.1666     |   0.0 | 95.94
Neigh   | 0.041994   | 0.041994   | 0.041994   |   0.0 |  1.86
Comm    | 0.014594   | 0.014594   | 0.014594   |   0.0 |  0.65
Output  | 2.3775e-05 | 2.3775e-05 | 2.3775e-05 |   0.0 |  0.00
Modify  | 0.029917   | 0.029917   | 0.029917   |   0.0 |  1.32
Other   |            | 0.005057   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4194 ave 4194 max 4194 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8388 ave 8388 max 8388 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8388
Ave neighs/atom = 38.6544
Neighbor list builds = 71
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -938.8863    48.807709   -890.07859    1748.1151   -11397.809    2.1297595            0 5.4350456e-32 
    3300   -939.33465    50.254112   -889.08054      1799.92    5665.2868    2.1667127 0.0030815888   0.12798413 
   24800   -940.11733    44.492246   -895.62508    1593.5509   -294.69485    2.1621751   0.29889985    0.1368198 
   24900   -937.45811    46.078146   -891.37996    1650.3521    9026.6352    2.1801122   0.12936413   0.13801421 
   25000   -934.41886    48.203287   -886.21558    1726.4669    2477.3519    2.1585589   0.20227011   0.15056895 
   25100   -943.02179    48.712125   -894.30967    1744.6917   -7994.8423    2.1485285   0.25326588   0.14105339 
   25200   -943.19725    52.706208   -890.49105    1887.7452    3672.7634    2.1757559   0.31939772   0.14210904 
   25300   -932.15439    48.853866   -883.30052    1749.7683    8182.3414     2.164062   0.26414151   0.14130365 
   25400   -937.09471    44.331311    -892.7634    1587.7868   -3003.0407    2.1497764   0.17582165   0.14096147 
   25500   -942.77486    51.673664    -891.1012    1850.7632   -2175.4429    2.1617002   0.25330275   0.12853038 
   25600   -937.35095    55.170798   -882.18016    1976.0179    5983.3635    2.1665854   0.10375192   0.13405852 
   25700   -942.84273     51.21348   -891.62925    1834.2811   -2353.1254    2.1597712   0.19483715   0.14514873 
   25800   -940.58466    48.065766    -892.5189    1721.5414   -7260.9038    2.1460074  0.022953861   0.13019536 
   25900   -937.03855     52.88391   -884.15464    1894.1099    6797.7427    2.1747401    0.1601359   0.14507582 
   26000   -944.85987    52.755571    -892.1043    1889.5132     2739.741    2.1737258   0.14258023   0.12822635 
   26100   -943.73566    48.561516   -895.17414    1739.2974   -11943.381    2.1350943   0.15219366   0.12524281 
   26200   -938.65353    51.712844   -886.94068    1852.1666    3727.6793    2.1668453   0.31997116    0.1348015 
   26300    -939.4373    49.585555   -889.85174    1775.9747    12430.628    2.1942687   0.26563116   0.14916066 
   26400   -942.85949    45.471059   -897.38843    1628.6084    -11037.39    2.1416867    0.4589864   0.12674886 
   26500   -939.57642    50.444881   -889.13154    1806.7527   -4794.0748    2.1447842   0.01357323   0.12918087 
   26600   -935.54661    49.575216   -885.97139    1775.6044    16785.835    2.1908788   0.21957487   0.13554706 
   26700   -940.36685    44.860596   -895.50625    1606.7438   -1804.6629    2.1605132    0.2073834   0.13965994 
   26800   -940.63889    51.183979   -889.45491    1833.2245   -6949.6298    2.1435438   0.11609339   0.13042654 
   26900   -934.11014     49.43894    -884.6712    1770.7235     6910.436    2.1622491   0.29926515   0.13925992 
   27000   -940.77326    46.855954   -893.91731    1678.2103    5786.0865    2.1730475    0.1703218   0.13342967 
   27100   -941.32836    51.865065    -889.4633    1857.6185   -5341.4332    2.1482301   0.12848694   0.13207466 
   27200    -939.0534    54.008088   -885.04532    1934.3738   -2055.4742    2.1500298   0.24221558   0.12338715 
   27300   -944.38772     50.48304   -893.90468    1808.1194    3359.0876    2.1789271   0.18494588   0.13526359 
   27400   -939.36127    49.722573    -889.6387    1780.8822   -368.56977    2.1547542  0.033717594   0.13505562 
   27500   -940.78888    54.858756   -885.93012    1964.8417   -8714.6531    2.1378058   0.33133385   0.14433035 
   27600   -943.89853    49.294976   -894.60355    1765.5673    7420.8554    2.1856283   0.29329514   0.13037911 
   27700   -942.77589     53.03158   -889.74431    1899.3989    1854.8327    2.1681734   0.50283074   0.12368865 
   27800   -933.04893    46.061588   -886.98735     1649.759   -6576.0291     2.131025   0.14430077   0.14054793 
   27900   -944.71166    48.626137   -896.08552    1741.6119    3365.5079    2.1762079  0.067681738   0.11969669 
   28000   -943.73624    52.666336   -891.06991    1886.3172    7882.9404    2.1831627    0.1980788   0.13303588 
   28100   -937.99262    50.579253   -887.41336    1811.5654   -7158.5714    2.1356332   0.12320628    0.1532103 
   28200   -943.39924    48.729076   -894.67016    1745.2988   -5017.5464    2.1537265  0.096215996   0.12886185 
   28300   -939.69125     46.88718   -892.80407    1679.3288    14652.775    2.1997942   0.75668302   0.14706741 
   28400   -935.40262    50.111447   -885.29117    1794.8103   -75.728551    2.1533673   0.25218608   0.14493251 
   28500   -937.79201    46.116135   -891.67588    1651.7127   -11819.128    2.1282925   0.04394924     0.131259 
   28600   -942.55707    50.187069      -892.37    1797.5188    8774.2387    2.1907726  0.080907158   0.13918873 
   28700   -936.95421    54.494627   -882.45958    1951.7999    8594.7418    2.1695622    0.2051851   0.13779049 
   28800   -938.27699    49.394154   -888.88284    1769.1195   -9426.0184    2.1309205  0.062364828   0.13141569 
   28900   -943.00255    50.050748    -892.9518    1792.6363   -1581.9566    2.1620724   0.17599278   0.12271253 
   29000   -942.00279    54.844969   -887.15782    1964.3479    7619.6964    2.1776369   0.23731532   0.14369554 
   29100   -936.63639    50.867237   -885.76916      1821.88   -4836.6866    2.1388631   0.08177949   0.15156463 
   29200   -939.63767    45.160051   -894.47762    1617.4693    590.58968    2.1595524   0.47912313   0.13709032 
   29300   -938.88567    50.406047   -888.47962    1805.3618    5268.7585    2.1686915   0.24623273   0.13748992 
   29400   -939.58717    53.290846   -886.29632    1908.6848   -3265.5378     2.144408   0.60512727   0.11698056 
   29500   -944.40435    47.991294   -896.41306    1718.8741   -288.54827    2.1692564   0.23191975   0.11970425 
   29600   -943.14624    53.213783   -889.93246    1905.9247   -2173.9358     2.158738    0.1294213   0.12616499 
   29700   -936.96759    49.414904   -887.55269    1769.8627    1415.0667    2.1531496 0.0073095427   0.14289277 
   29800   -942.16637    45.249373     -896.917    1620.6685    1988.8904    2.1736539   0.20890157   0.12994222 
   29900   -944.00914    53.784615   -890.22453    1926.3699   -1838.9619    2.1577534   0.38789964   0.13778133 
   30000   -937.52986    50.015656   -887.51421    1791.3794    1777.2995    2.1560719   0.28640531   0.13222101 
   30100    -944.4977    48.887977   -895.60972      1750.99   -2134.7463    2.1650149   0.11273816   0.12288313 
   30200   -944.38009    54.141139   -890.23895    1939.1392   -3216.4535    2.1586347   0.17112973   0.13302444 
   30300   -940.62802    54.616309   -886.01171    1956.1581   -85.726477    2.1576541   0.13626843   0.11386773 
   30400   -941.96101     48.26392   -893.69709    1728.6386   -3080.3058    2.1527792   0.15397595   0.12166057 
   30500   -940.92003    51.426737    -889.4933    1841.9192    1189.8441    2.1619182   0.34841393   0.12494839 
   30600   -936.52917    52.807825   -883.72134    1891.3848    2387.6493    2.1540216   0.10458632   0.12386332 
   30700   -940.25613    47.175763   -893.08036    1689.6647   -2189.2373    2.1543633   0.27507981   0.14294641 
   30800    -942.6137    52.490716   -890.12299    1880.0271   -1159.4295    2.1567252   0.28713655    0.1352631 
   30900    -935.0608    52.668469   -882.39233    1886.3936    2796.2094    2.1530119   0.14866825   0.14734332 
   31000   -941.70856     48.78032   -892.92824    1747.1341    858.36908    2.1643565 0.0098932999   0.13720883 
   31100   -939.48913    47.719308   -891.76982    1709.1326    -3587.677    2.1498398   0.15696223   0.12651822 
   31200   -931.34959    46.952809   -884.39678    1681.6794    7933.3018    2.1618943  0.044693659   0.15165061 
   31300   -941.55196    47.529363    -894.0226    1702.3294    6857.2129    2.1787317   0.29348184   0.12353227 
   31400   -941.37694    48.331558   -893.04538    1731.0611   -10071.006     2.138327  0.055369118   0.14346243 
   31500   -937.85492    50.866877   -886.98805    1821.8671    1206.4346    2.1566822   0.57651961   0.14939361 
   31600   -941.93486    49.846611   -892.08825    1785.3248     9687.774    2.1883296   0.15768625   0.12917269 
   31700   -947.34002     50.16903   -897.17099    1796.8727   -8195.4552    2.1523329   0.13514525   0.12924752 
   31800   -940.81064    52.290024   -888.52062     1872.839   -8880.4795    2.1370611   0.17233338   0.13064426 
   31900   -939.60086    50.946428   -888.65443    1824.7163    12606.447    2.1865094   0.18239959   0.11695387 
   32000   -947.12229    50.633333   -896.48896    1813.5024   -1129.4527    2.1699187  0.073616713   0.12100593 
   32100   -938.72498    51.629236   -887.09575     1849.172   -13534.893    2.1229374  0.086914298   0.13431451 
   32200   -940.52566    53.099991   -887.42567    1901.8491    6884.5545    2.1758577   0.14287712   0.13358764 
   32300    -945.5919    52.457277   -893.13463    1878.8294     3871.073    2.1795071   0.30464027   0.13598109 
   32400   -936.21363    50.256157   -885.95747    1799.9933   -5205.8611    2.1353381   0.51294797   0.14591709 
   32500   -939.88572    54.426321    -885.4594    1949.3534   -1278.7294    2.1532387   0.42299097   0.13378815 
   32600   -940.68466    48.431711   -892.25295    1734.6483    1980.4098    2.1687269   0.29120738   0.13203073 
   32700   -939.38838    49.545588   -889.84279    1774.5433   -661.19676    2.1566398   0.23021067   0.13799822 
   32800   -935.11504    52.936082   -882.17895    1895.9785   -3142.5067    2.1379773   0.13510588   0.13022937 
   32900   -945.80582    53.015463   -892.79036    1898.8216    1266.4192    2.1742149   0.14482941   0.13538838 
   33000    -941.3676     50.73989   -890.62771    1817.3189    910.35563    2.1595606  0.057459245   0.13505404 
   33100   -934.34046     49.79602   -884.54444    1783.5128   -3092.5049    2.1405859   0.25403378   0.15121801 
   33200   -939.87729    45.671383    -894.2059    1635.7833    3257.0255    2.1723877   0.04776416   0.14803883 
   33300   -943.03097    49.851805   -893.17917    1785.5109   -3453.0798    2.1593382    0.6724656   0.15065539 
   33400   -937.87379    50.153258   -887.72053    1796.3078   -1460.7764    2.1570593    0.3588806   0.14498944 
   33500   -939.13341    47.739663   -891.39374    1709.8616    3656.0455    2.1695158   0.49821545   0.15354595 
   33600   -944.09746    47.403368   -896.69409    1697.8167   -1379.0907    2.1697039   0.25034571   0.12630967 
   33700    -938.1269    49.454699    -888.6722     1771.288    1570.7489    2.1576478  0.032071396   0.13813057 
   33800   -941.42771    51.803743   -889.62397    1855.4222     1900.365    2.1621358   0.13957673   0.13644513 
   33900   -946.56849     48.52281   -898.04568    1737.9111    1740.2002    2.1774983   0.09130975   0.12779211 
   34000   -935.74815    47.178972   -888.56918    1689.7797   -1647.4117    2.1483481   0.49551634   0.16563534 
   34100    -937.7486    49.189178   -888.55942     1761.778    4363.4278    2.1659652   0.20524343   0.14954211 
   34200   -946.40354    51.626877   -894.77666    1849.0875    848.20979    2.1744593   0.13907486   0.12803869 
   34300   -942.18203    52.969315   -889.21272    1897.1688   -6264.1455    2.1507432  0.056656167   0.13816749 
   34400   -938.63373     52.35832   -886.27541    1875.2852   -991.77741     2.156942  0.067300156   0.12726728 
   34500   -940.29251    48.652528   -891.63998    1742.5571     3318.658    2.1680275   0.47587213   0.14236872 
   34600   -939.85634    46.326069   -893.53027    1659.2318   -2541.3217    2.1627017   0.41629818   0.14740812 
   34700   -936.16511    53.240168   -882.92494    1906.8698   -6811.8888    2.1361777   0.76901186   0.16234178 
   34800   -941.84606    51.653434   -890.19262    1850.0387     5774.824    2.1792923   0.33496724   0.14553422 
   34900   -940.64284    48.074979   -892.56786    1721.8714   -561.58239    2.1659328   0.27229955   0.13742758 
   35000   -935.32967    50.855419   -884.47425    1821.4567   -7323.9724    2.1262626   0.27165143   0.14338015 
   35100    -939.7465    53.737981   -886.00852    1924.6996    5415.9649    2.1690814   0.14644855   0.12403013 
   35200   -946.22578    54.409173   -891.81661    1948.7392    1379.5778    2.1763516  0.061105923   0.12484689 
   35300    -943.7852     53.21858   -890.56662    1906.0966   -10970.633    2.1337042   0.19231617   0.13567794 
   35400   -936.92275    53.434874   -883.48787    1913.8434    838.22587    2.1490541   0.49415323   0.14364238 
   35500   -941.97134    47.903269   -894.06807    1715.7214    14153.457    2.1986736   0.37663071   0.13279402 
   35600   -942.51292     49.62921   -892.88371    1777.5383   -11287.667    2.1330269   0.16203517   0.11901843 
   35700   -940.94837    52.118063    -888.8303      1866.68   -7371.5743    2.1436049  0.022463496   0.13113214 
   35800   -941.68123    51.198923   -890.48231    1833.7598    11572.657    2.1900867   0.13791235   0.13591417 
   35900   -944.96004    46.087662   -898.87237    1650.6929    -2705.973    2.1695194  0.090353564   0.13254171 
   36000   -939.41682    48.597883   -890.81893    1740.5999    -5209.482    2.1439212   0.85298845   0.13127761 
   36100   -940.51748     52.81962   -887.69786    1891.8072    3327.7574    2.1674107  0.062544459   0.12650224 
   36200   -944.69816    48.530661    -896.1675    1738.1923    3008.2308    2.1752825   0.20473961   0.13978443 
   36300   -942.02758    50.827229   -891.20035     1820.447   -4439.0035    2.1527832   0.13950866   0.13936442 
   36400   -936.03698    48.731836   -887.30514    1745.3977    559.39733    2.1568889   0.09706436   0.13541789 
   36500   -942.63386    49.668557   -892.96531    1778.9476     506.5847    2.1706941   0.13993826    0.1218649 
   36600   -944.21796    49.195101   -895.02286    1761.9901   -2948.1696    2.1642854  0.060466376   0.12453696 
   36700   -939.05742     53.82626   -885.23116    1927.8614   -5580.3041    2.1411615  0.086559063   0.12197364 
   36800   -942.71674    51.823658   -890.89308    1856.1355    3310.7086    2.1723993   0.27694589   0.13452101 
   36900   -943.42366     50.05034   -893.37332    1792.6217    3280.6372    2.1717064   0.60461538   0.14037429 
   37000   -936.23675    53.031346   -883.20541    1899.3905   -8846.1589    2.1261963   0.37785274    0.1375016 
   37100    -938.6076    47.635415   -890.97218    1706.1278    7051.5365    2.1739694   0.24204812   0.14040136 
   37200   -943.85754    51.840112   -892.01743    1856.7248    2747.1321    2.1730263  0.025159526   0.11270445 
   37300   -936.88573    50.030616   -886.85511    1791.9152   -8086.5512    2.1279151   0.21451037   0.12255402 
   37400   -937.59922      54.1503   -883.44892    1939.4674   -153.42275     2.146696    0.2443119   0.13941238 
   37500   -942.85346    50.908613   -891.94484    1823.3619    17349.256    2.2056377  0.083783723    0.1461478 
   37600   -939.30775    49.196575   -890.11118    1762.0429   -7634.5594    2.1381246   0.38943871     0.139223 
   37700   -933.90351    47.366598   -886.53691    1696.4998   -7952.9307    2.1263611   0.34585724     0.135228 
   37800   -944.04018    48.604799   -895.43538    1740.8476    13673.208    2.2020038  0.059973667   0.13776356 
   37900   -941.01081    49.288878   -891.72193    1765.3489     1731.465    2.1660207   0.02575495   0.12749352 
   38000   -938.38924    50.651076   -887.73816    1814.1379   -11188.969     2.128498   0.32435168   0.14804439 
   38100   -939.05421    50.347039   -888.70717    1803.2484    1676.8671    2.1645561   0.24730682   0.14785339 
   38200   -945.51545    48.285738   -897.22971      1729.42    8708.2125    2.1929737    0.1345723   0.11970302 
   38300   -938.96624    51.109068   -887.85717    1830.5415   -7131.9558    2.1370506   0.26477889   0.15225062 
   38400   -940.88512    51.908737   -888.97639    1859.1827   -1376.4992    2.1566918  0.057117508   0.12267918 
   38500   -941.69464    47.990191   -893.70445    1718.8346    7766.1852    2.1783538   0.22399665   0.12566993 
   38600   -937.87221    53.517736   -884.35447    1916.8112   -4540.5353    2.1411898   0.41171991   0.14504954 
   38700   -938.70061    51.666997   -887.03362    1850.5245   -1804.1835    2.1509386  0.041927766   0.11840989 
   38800   -944.73126    52.315295   -892.41597    1873.7441     299.8423    2.1705658  0.065456629   0.11862866 
   38900   -942.60934     52.93081   -889.67853    1895.7897   -375.96328    2.1592431   0.14118833   0.11628341 
   39000   -934.64371    51.607056   -883.03665    1848.3776   -6906.0187     2.126764   0.17628879   0.12881173 
   39100   -944.65264    51.652894   -892.99975    1850.0193    3841.1576    2.1787745  0.086449759    0.1457608 
   39200   -943.71959    53.464749   -890.25484    1914.9134    5783.3364    2.1780059   0.25229918   0.13569001 
   39300   -934.98392    49.154123    -885.8298    1760.5224   -13472.664    2.1132298   0.40956044   0.14819851 
   39400   -943.81745    48.269019   -895.54843    1728.8212    1401.2586    2.1707398   0.14190282   0.12637867 
   39500   -941.69473    48.445875   -893.24885    1735.1555    13983.775    2.2008039  0.046290821   0.14324117 
   39600   -937.56904    48.462112   -889.10692    1735.7371   -8450.6367    2.1316775   0.10960669   0.15017914 
   39700   -938.92161     50.58826   -888.33335     1811.888   -7812.1619    2.1344746   0.24076877   0.14612405 
   39800   -941.79274    46.016269   -895.77647    1648.1359    15950.791    2.2044283   0.30963695   0.15137201 
   39900   -937.87128    49.590755   -888.28053     1776.161   -116.67855    2.1543288    0.4729255   0.14937617 
   40000   -938.24752    49.985179   -888.26234    1790.2878   -8097.3808    2.1390599   0.32989189   0.15767102 
   40100   -942.36115    49.934495   -892.42666    1788.4725    2639.5771    2.1728964  0.098906681   0.15958513 
   40200   -945.34335    49.608681   -895.73467     1776.803    1048.8922    2.1777294   0.12572599   0.14759349 
   40300   -934.78633    49.924928    -884.8614    1788.1299   -7332.6901     2.133614   0.11374024   0.14399039 
   40400    -939.7386    49.304132   -890.43447    1765.8952    3084.0811    2.1697943   0.58947399   0.15505034 
   40500   -941.50542    50.898056   -890.60736    1822.9838    4338.0927    2.1739889    2.3058063   0.17585166 
   40600   -936.33192    53.893444   -882.43848    1930.2677   -8362.5494    2.1302071    4.9364287   0.17376976 
   40700   -942.04748    50.204584    -891.8429    1798.1461    2895.9482    2.1686868    5.6396818   0.15625984 
   40800   -939.69761    49.080637   -890.61698    1757.8904    1879.9745    2.1674105    5.6769958   0.15979514 
   40900   -935.13677    50.677993   -884.45878    1815.1019   -3876.0615    2.1419734     4.788844   0.16280088 
   41000   -943.11655    50.461647    -892.6549    1807.3532   -3119.1488    2.1613366    7.2201834   0.15453015 
   41100   -944.10788    51.108952   -892.99893    1830.5373    1666.5174    2.1709295    6.6624808   0.12798803 
   41200   -938.23574     51.82367   -886.41207    1856.1359    2273.3958    2.1583735    7.6622664   0.14311436 
   41300   -937.28409    47.313983   -889.97011    1694.6153   -5347.2686     2.142249    8.3379674   0.15046769 
   41400   -945.36623     49.21785   -896.14838    1762.8049    1262.8129    2.1773102    7.7874826   0.14732414 
   41500   -937.52033    50.806652   -886.71368      1819.71    8540.3677    2.1746223    6.7591475    0.1559164 
   41600   -939.95653    50.003935   -889.95259    1790.9596   -11258.562    2.1323065    7.1913667   0.13205416 
   41700   -947.30245    49.553076   -897.74937    1774.8115   -6377.6059    2.1580101    6.5309707   0.14138145 
   41800   -936.55883    46.064102   -890.49472    1649.8491    26567.831    2.2206578    5.4266681   0.15290989 
   41900   -939.67804     51.72522   -887.95282    1852.6098   -5635.7587    2.1381483    7.5510784   0.13676663 
   42000   -943.39393    51.641375   -891.75256    1849.6068   -15908.765    2.1252873    6.9217293   0.12939845 
   42100   -947.49652    53.919738   -893.57679    1931.2095    9329.6403    2.1987325    5.9821477   0.13065991 
   42200   -938.87298    55.794393   -883.07859    1998.3528   -1962.2709    2.1504554    6.9542531   0.12328545 
   42300   -940.98719     51.07845   -889.90874    1829.4448   -11126.878    2.1368257     6.244243   0.14446335 
   42400   -941.74144    49.450871   -892.29057    1771.1509    3634.8417    2.1756348    8.0064019   0.14551849 
   42500   -939.72555    53.759158   -885.96639    1925.4581    5762.5151    2.1686429    5.9126501   0.14569212 
   42600   -937.50109    51.981138   -885.51995    1861.7759   -10429.925    2.1289257    7.1136175   0.15262183 
   42700   -942.21375    48.634751     -893.579    1741.9204   -4469.4742    2.1587724    6.7323333   0.12586216 
   42800   -943.18458    54.478011   -888.70656    1951.2048    8703.4799    2.1852363     6.999903   0.12846726 
   42900   -939.07059    53.878602   -885.19198    1929.7361   -6635.7535    2.1366181    7.6721876   0.14052603 
   43000   -942.93542    46.959823    -895.9756    1681.9306   -2785.2939    2.1572999    9.1934479   0.12158396 
   43100   -940.64516    49.490235   -891.15493    1772.5607    7842.5861    2.1762426    6.1260612   0.14243107 
   43200   -936.88469    50.238181   -886.64651    1799.3495    206.82858    2.1544966    9.2638334   0.13236664 
   43300   -943.50141    51.275612    -892.2258    1836.5065   -10567.155    2.1400672    6.4626698   0.13273694 
   43400   -943.37201    48.675375   -894.69663    1743.3754    6594.0966    2.1805275    5.4235001   0.12217039 
   43500   -939.02945    52.765809   -886.26364    1889.8799    7499.1976    2.1727613    6.6765906   0.13383914 
   43600   -936.51879    45.277485    -891.2413    1621.6753   -7247.0654    2.1319896    6.5799687   0.13483405 
   43700   -944.08284    47.845862   -896.23698    1713.6653   -67.334874    2.1671295    6.5732601    0.1206194 
   43800   -941.56688    55.446268   -886.12062    1985.8843    10910.431     2.185132    8.7738382   0.13060379 
   43900   -938.30605    50.281101   -888.02495    1800.8867    -5267.092    2.1395322    6.5481015   0.11920074 
   44000   -940.35764    46.350831    -894.0068    1660.1187   -9807.9275    2.1333132    6.4693119   0.12836235 
   44100    -938.5256    49.263571   -889.26203    1764.4425    21036.653    2.2055074    7.2936986   0.17093907 
   44200   -934.27656    52.827494   -881.44907    1892.0893    3094.4572    2.1541663    11.117948    0.1698075 
   44300   -935.34382    46.398976   -888.94484     1661.843   -20901.595    2.0934961    8.7358312   0.15068806 
   44400   -940.85657    51.125347   -889.73122    1831.1245    6993.9787    2.1748099    9.1907367   0.13665859 
   44500   -939.13983    49.341648   -889.79818    1767.2389    11502.628    2.1821859    7.1265665   0.12700593 
   44600   -935.51868    57.205321   -878.31336    2048.8871   -9673.9706    2.1207916    7.1910636     0.149478 
   44700   -939.49968    51.608709   -887.89097    1848.4368    884.27489    2.1634504      7.74898   0.14622828 
   44800   -940.13593    49.868294   -890.26764    1786.1014    2684.5305    2.1706253    6.9240372   0.14859112 
   44900   -942.40652    52.042447   -890.36408    1863.9717   -3794.4397    2.1538357    7.5667324   0.14760431 
   45000   -935.70157    56.032322   -879.66925    2006.8746   -3895.8038      2.14028    5.4138281   0.16121855 
   45100   -941.09186    53.438482   -887.65338    1913.9726    5766.7642    2.1787538    5.2827144   0.15618652 
   45200   -940.45324    49.310799   -891.14244     1766.134   -3910.0292     2.148568    5.8069845   0.14382058 
   45300   -941.24188    51.543136   -889.69875    1846.0882   -3676.6721    2.1530229    5.9576141    0.1456222 
   45400   -935.04243    55.071617   -879.97082    1972.4656    11309.127    2.1718175    5.9958582   0.16903732 
   45500   -938.10286    53.055004   -885.04785    1900.2378   -1834.6611    2.1498814   0.87185926   0.15301798 
   45600   -941.96199    50.357696   -891.60429    1803.6301   -7911.6091    2.1438153    1.2989571   0.17021858 
   45700   -941.88451    56.021382   -885.86313    2006.4827    9070.7087    2.1870695   0.32959382   0.16266328 
   45800   -938.61688    53.367749   -885.24913    1911.4392   -1198.0475    2.1581818    10.162077   0.17704526 
   45900   -945.83405    50.440082   -895.39396    1806.5808   -7941.6389     2.154662     4.167066   0.16167226 
   46000   -939.56058    49.601685   -889.95889    1776.5525    2848.8909    2.1724105    3.3406667   0.15507954 
   46100   -935.46779    49.612146   -885.85565    1776.9272    2801.7222    2.1631366    4.2871747   0.17657311 
   46200   -938.52539    47.875966   -890.64942    1714.7435   -9769.8509    2.1378598    6.7315471    0.1672223 
   46300   -941.86343    47.755417   -894.10801    1710.4259    6185.6944    2.1772048    8.1287433   0.18382309 
   46400   -935.45178    49.742399   -885.70938    1781.5923    8412.6531    2.1663405    6.6674539   0.16056906 
   46500   -937.17387    46.735778   -890.43809    1673.9061   -4249.9957    2.1412036    5.8119877   0.16551721 
   46600   -944.10489    48.532751   -895.57214    1738.2671   -274.10656    2.1642307    2.4040088   0.16683507 
   46700   -940.56219    55.422482   -885.13971    1985.0323    588.06889    2.1572073    4.0275981   0.14862846 
   46800   -941.40557    53.349419   -888.05615    1910.7827   -1150.8994    2.1538351    4.8559156   0.15162147 
   46900   -939.87418    46.668692   -893.20549    1671.5033    436.11433    2.1611982     7.593948   0.15279602 
   47000    -938.1372    53.144677   -884.99252    1903.4496   -919.33796    2.1529538    5.9484406   0.15833134 
   47100   -936.89823    51.478372   -885.41985    1843.7686    1186.1584    2.1505234    6.7175358   0.15873975 
   47200   -939.58804    47.313612   -892.27442     1694.602   -1084.9572    2.1583636    6.1976245    0.1427561 
   47300   -939.62494    52.243263   -887.38168    1871.1642    3595.1267    2.1647896    4.9393855     0.157729 
   47400   -933.87848    51.579414   -882.29907    1847.3876    2312.9844    2.1489687    6.1952733   0.18722123 
   47500   -940.98121    48.346536   -892.63468    1731.5976    382.21549    2.1609115    3.8294027   0.16536565 
   47600   -942.91419    54.850653   -888.06354    1964.5515    11.788233    2.1638837    8.6644366   0.15919417 
   47700   -936.53366    51.431361    -885.1023    1842.0848     877.7351    2.1547434    6.4315447   0.17103292 
   47800   -942.25552    46.035227   -896.22029    1648.8149   -54.460334     2.169444     6.006332   0.14631875 
   47900   -938.11608    46.617325   -891.49875    1669.6635    -991.6803    2.1573418    4.8734072   0.14489317 
   48000    -938.4542    51.477812   -886.97639    1843.7485    2413.5491    2.1656601    7.2714033    0.1653046 
   48100   -939.26641    47.874643   -891.39177    1714.6961   -903.76096    2.1608475    6.4018224   0.18139719 
   48200   -943.23049     47.00698   -896.22351    1683.6196   -2527.5712    2.1620005    6.0339292   0.17559739 
   48300   -937.96164    50.739656   -887.22199    1817.3105    4600.1532    2.1697849    7.3482461   0.16109912 
   48400   -936.51797     48.16544   -888.35253    1725.1114   -1113.5871    2.1522754    5.5010625    0.1684919 
   48500    -943.3091    47.138415   -896.17069    1688.3271   -2831.5365    2.1621702    6.6537618   0.16565884 
   48600   -940.54367    53.952375   -886.59129    1932.3784    2254.9541    2.1664138    3.3767719   0.13950631 
   48700    -942.9143    55.327415   -887.58689    1981.6274   -151.20516    2.1618148    7.6081043   0.15237253 
   48800   -942.20288    46.416087   -895.78679    1662.4559   -7972.5409    2.1498498    6.2260557   0.16535273 
